vocabs, center, score
deforwy, 32, 27,
dejnrsx, 32, 25,
abeirty, 4, 44,
efiprsu, 64, 25,
cdekprt, 16, 19,
deflotw, 32, 36,
ablmnsu, 4, 18,
abgrstu, 4, 20,
dekmopr, 32, 38,
deghost, 32, 30,
abdefil, 4, 28,
defrsxy, 32, 29,
demnpsw, 32, 28,
delnpst, 32, 44,
acdefpr, 16, 39,
abemoqr, 4, 27,
adehsvw, 32, 33,
degmqrt, 32, 21,
cdeprtw, 16, 20,
defmotw, 32, 19,
denqrsx, 32, 23,
cdegiot, 16, 19,
dekprsu, 32, 62,
ajnpsuy, 2, 20,
deklrtu, 32, 26,
abcgils, 4, 23,
defhrst, 32, 46,
deflsuw, 32, 36,
abmorst, 4, 39,
demnost, 32, 56,
abdilor, 4, 44,
defgkls, 32, 23,
cdeqrsy, 32, 33,
adegkot, 16, 19,
abejlnp, 32, 15,
cdeoqrs, 32, 36,
ceijrsy, 32, 29,
abejlnp, 32, 15,
dekqrst, 32, 38,
aeintwy, 2, 23,
ceklqrs, 32, 28,
aegkltv, 32, 34,
aegnotv, 32, 32,
aejnopt, 32, 22,
achintw, 2, 32,
cekpqrs, 32, 29,
cdekors, 32, 50,
abdenop, 32, 25,
aekortv, 2, 32,
acdeqrs, 8, 33,
cekqrsy, 32, 27,
deikqrs, 16, 31,
dekpqrs, 32, 40,
cdeklqs, 32, 16,
abelnop, 32, 29,
aglrtvy, 2, 27,
cdekors, 8, 23,
aekostv, 32, 23,
adekotv, 16, 14,
dekqrsy, 32, 35,
adekotv, 32, 16,
cdepqrs, 16, 25,
abejnps, 32, 25,
abegnop, 2, 22,
cdekrsy, 16, 21,
aejlnop, 32, 20,
aejnops, 2, 27,
aegkmot, 32, 19,
aegknot, 32, 29,
cdepqrs, 32, 41,
deikqrs, 16, 31,
cdepqrs, 16, 25,
aeintwy, 32, 25,
cehkqrs, 32, 25,
ahnrtwy, 2, 29,
aejlnop, 32, 20,
defoqwy, 2, 0,
ghilosu, 256, 21,
dejprsx, 8, 0,
abdeity, 16, 21,
dfghiny, 32, 0,
efjlstu, 4, 0,
efoprsu, 64, 19,
ailmuwy, 4, 0,
deknprt, 4, 0,
defhltw, 8, 0,
defmowy, 8, 0,
dfmorwy, 512, 0,
ghimsuy, 64, 0,
cdejnrs, 4, 0,
abeilty, 64, 0,
defgiln, 4, 0,
defstux, 32, 27,
efijrsu, 8, 0,
abiluwx, 4, 7,
acdkprt, 8, 10,
dfglotw, 8, 0,
bdefkoy, 16, 10,
defjorw, 8, 0,
ghiosuv, 16, 0,
dejnrxy, 32, 14,
abinrty, 512, 23,
efginsy, 32, 26,
eflnstu, 256, 0,
cefprsu, 64, 13,
ailmtuw, 512, 28,
dekprty, 8, 0,
defltwx, 64, 3,
defkotw, 16, 10,
deforty, 16, 17,
hijmosu, 16, 0,
dejnrsv, 32, 35,
abehity, 32, 11,
defgnwy, 512, 0,
eflostu, 16, 0,
eimprsu, 4, 0,
abilmuy, 2, 25,
cdefkpr, 32, 25,
dehlotw, 64, 0,
cdefowy, 32, 7,
defowxy, 64, 3,
dghiosu, 16, 12,
ejnrstx, 16, 0,
abeisty, 32, 31,
defginu, 4, 0,
beflsux, 32, 17,
efioprs, 64, 18,
bilmouw, 64, 0,
bcdekpt, 8, 4,
delotwx, 4, 0,
dfkopwy, 32, 0,
dforvwy, 8, 0,
ghmosuy, 16, 0,
cdejrsx, 2, 0,
abertwy, 8, 0,
bdefgny, 512, 0,
efqstux, 32, 12,
efoprsu, 32, 57,
ablmsuw, 16, 0,
bcdekrt, 8, 8,
defloqt, 4, 0,
defkovw, 2, 0,
dforswy, 8, 0,
ghimsuw, 4, 0,
dejprsx, 16, 21,
abeprty, 8, 0,
defgiwy, 16, 10,
eflostx, 4, 0,
efmprsu, 8, 0,
abciluw, 8, 17,
cdfkprt, 8, 2,
cdelotw, 32, 33,
dfkowxy, 32, 0,
defotwy, 8, 0,
ghijmou, 64, 0,
adenrsx, 512, 0,
abeitxy, 8, 0,
efginoy, 8, 0,
eflmstx, 64, 9,
efimrsu, 512, 33,
abilmux, 8, 0,
cdeprtx, 64, 0,
dflotvw, 4, 0,
deikowy, 128, 0,
defiowy, 4, 0,
ghioqsu, 64, 0,
bdejnrx, 32, 13,
aceirty, 4, 0,
defikny, 16, 14,
eflpstx, 4, 0,
efipruw, 4, 0,
abilquw, 32, 0,
cdkoprt, 4, 0,
defjlot, 128, 0,
dekmowy, 32, 13,
degorwy, 128, 21,
bghmosu, 64, 0,
dejnsxy, 2, 0,
beinrty, 64, 0,
defgikn, 256, 0,
ceflsux, 8, 16,
defipsu, 128, 0,
bilmouw, 512, 10,
cdikprt, 64, 0,
defkltw, 512, 0,
defotwy, 16, 13,
adeforw, 16, 39,
himosuw, 4, 0,
dejkrsx, 128, 0,
abeimrt, 4, 40,
efginsy, 64, 9,
efjstux, 8, 0,
efinrsu, 4, 0,
ablmpuw, 64, 0,
cdknprt, 8, 2,
cdeflow, 16, 22,
cdefkwy, 4, 0,
dejorwy, 8, 0,
ghimouw, 16, 0,
dejlrsx, 4, 0,
abejrty, 64, 0,
bdefiny, 4, 11,
efilstx, 4, 0,
efimrsu, 256, 0,
abilouw, 8, 0,
defkprt, 8, 0,
delotwy, 8, 0,
dfkopwy, 4, 0,
eforuwy, 16, 0,
gimostu, 128, 18,
cejnrsx, 8, 9,
abcirty, 32, 0,
efgimny, 128, 10,
defltux, 4, 0,
efhipsu, 4, 0,
abilmwy, 8, 0,
bcekprt, 4, 6,
deflstw, 128, 0,
defkowx, 128, 0,
defjory, 128, 0,
dghimos, 4, 0,
defjnrx, 8, 0,
abeiqry, 2, 19,
cdefgin, 256, 0,
eflntux, 4, 0,
befirsu, 4, 21,
aiklmuw, 2, 22,
degkprt, 8, 0,
deilotw, 4, 0,
efhkowy, 128, 0,
defmowy, 64, 7,
bghimos, 8, 0,
dejnrsw, 8, 0,
abiorty, 2, 34,
dfginsy, 64, 6,
beflstx, 4, 5,
efipruw, 8, 0,
ailmuvw, 4, 0,
cdeprty, 32, 36,
defhltw, 4, 0,
dfkoqwy, 128, 0,
dfjorwy, 8, 0,
himosuw, 16, 0,
ejnrstx, 4, 0,
abehrty, 4, 34,
defgikn, 16, 15,
efltuxy, 8, 0,
efprsuy, 8, 0,
ahilmuw, 8, 0,
cdekopt, 16, 10,
deflowx, 4, 0,
defgowy, 32, 14,
adeorwy, 8, 0,
ghimpsu, 32, 0,
dejmnsx, 8, 0,
abfirty, 64, 11,
defgiwy, 8, 0,
efstuwx, 32, 15,
efiprsw, 8, 0,
bilmsuw, 64, 0,
acdekpr, 4, 0,
defoqtw, 4, 0,
dekorwy, 64, 0,
deforty, 32, 25,
ghmorsu, 64, 0,
deijrsx, 32, 35,
abirtvy, 8, 0,
defghny, 4, 0,
efklstu, 16, 0,
efikrsu, 64, 20,
abilmsw, 64, 0,
cdekprw, 128, 0,
deloptw, 128, 0,
defknow, 2, 0,
dfiorwy, 32, 0,
agimosu, 2, 20,
dehjnrx, 16, 7,
abceity, 4, 12,
defgmny, 4, 0,
efnstux, 32, 21,
fiprsux, 32, 0,
abiltuw, 32, 0,
cdfkprt, 8, 2,
delmotw, 4, 0,
adekowy, 16, 20,
dfortwy, 4, 0,
ghimost, 16, 0,
deijnsx, 32, 24,
abirtwy, 128, 0,
dfgikny, 64, 8,
eflrtux, 8, 0,
fimprsu, 16, 0,
abdilmu, 8, 0,
cdeknrt, 8, 12,
dflnotw, 8, 0,
dfgkowy, 4, 0,
efoqrwy, 4, 0,
dghimos, 16, 14,
